,address,district,area,bedrooms,garage,type,rent,total,price_per_m2,valor_estimado_area,location,coordinates
37,Rua Oscar Freire,Pinheiros,18,1,0,Apartamento,4000,4661,15337,276066,"Rua Oscar Freire, Pinheiros, São Paulo, SP","(-23.5507897, -46.6787724)"
38,Rua Oscar Freire,Pinheiros,19,1,0,Studio e kitnet,3400,3905,15337,291403,"Rua Oscar Freire, Pinheiros, São Paulo, SP","(-23.5507897, -46.6787724)"
39,Rua Mourato Coelho,Pinheiros,34,1,1,Studio e kitnet,3231,4083,15337,521458,"Rua Mourato Coelho, Pinheiros, São Paulo, SP","(-23.566351, -46.6856195)"
40,Rua Alves Guimarães,Pinheiros,33,1,0,Studio e kitnet,3417,4018,15337,506121,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
41,Rua Eugênio de Medeiros,Pinheiros,34,1,1,Apartamento,4850,5677,15337,521458,"Rua Eugênio de Medeiros, Pinheiros, São Paulo, SP","(-23.5703061, -46.7001637)"
42,Rua Alves Guimarães,Pinheiros,25,1,0,Studio e kitnet,2500,2986,15337,383425,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
43,Rua Capote Valente,Pinheiros,83,2,1,Apartamento,3200,4131,15337,1272971,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
44,Rua Alves Guimarães,Pinheiros,38,1,1,Apartamento,4300,5485,15337,582806,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
45,Rua Gilberto Sabino,Pinheiros,73,1,2,Apartamento,9500,11210,15337,1119601,"Rua Gilberto Sabino, Pinheiros, São Paulo, SP","(-23.5672754, -46.7011783)"
46,Rua Alves Guimarães,Pinheiros,43,1,1,Apartamento,3900,4865,15337,659491,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
47,Rua Alves Guimarães,Pinheiros,25,1,0,Apartamento,3100,3650,15337,383425,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
48,Rua Fradique Coutinho,Pinheiros,82,2,0,Casa,4000,4614,15337,1257634,"Rua Fradique Coutinho, Pinheiros, São Paulo, SP","(-23.562644, -46.6868335)"
49,Rua Alves Guimarães,Pinheiros,33,1,0,Apartamento,3100,3677,15337,506121,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
50,Rua Cunha Gago,Pinheiros,31,1,1,Apartamento,2300,3151,15337,475447,"Rua Cunha Gago, Pinheiros, São Paulo, SP","(-23.5625079, -46.693739)"
51,Rua Fradique Coutinho,Pinheiros,28,1,1,Studio e kitnet,3570,4224,15337,429436,"Rua Fradique Coutinho, Pinheiros, São Paulo, SP","(-23.562644, -46.6868335)"
52,Rua Eugênio de Medeiros,Pinheiros,97,3,2,Apartamento,12000,13620,15337,1487689,"Rua Eugênio de Medeiros, Pinheiros, São Paulo, SP","(-23.5703061, -46.7001637)"
53,Rua Oscar Freire,Pinheiros,60,2,0,Apartamento,2900,3701,15337,920220,"Rua Oscar Freire, Pinheiros, São Paulo, SP","(-23.5507897, -46.6787724)"
54,Rua João Moura,Pinheiros,75,2,2,Apartamento,12000,13700,15337,1150275,"Rua João Moura, Pinheiros, São Paulo, SP","(-23.5549042, -46.6815695)"
55,Rua Fradique Coutinho,Pinheiros,90,2,1,Apartamento,6500,8342,15337,1380330,"Rua Fradique Coutinho, Pinheiros, São Paulo, SP","(-23.562644, -46.6868335)"
56,Rua Galeno de Almeida,Pinheiros,69,1,1,Apartamento,6500,8202,15337,1058253,"Rua Galeno de Almeida, Pinheiros, São Paulo, SP","(-23.5522121, -46.6768316)"
57,Rua Alves Guimarães,Pinheiros,27,1,0,Studio e kitnet,3300,3827,15337,414099,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
58,Rua Teodoro Sampaio,Pinheiros,33,1,1,Apartamento,2100,2741,15337,506121,"Rua Teodoro Sampaio, Pinheiros, São Paulo, SP","(-23.5582712, -46.6786794)"
59,Rua Alves Guimarães,Pinheiros,63,2,1,Apartamento,5000,6196,15337,966231,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
60,Rua Fradique Coutinho,Pinheiros,67,1,1,Apartamento,6000,7402,15337,1027579,"Rua Fradique Coutinho, Pinheiros, São Paulo, SP","(-23.562644, -46.6868335)"
61,Rua Mateus Grou,Pinheiros,76,2,0,Apartamento,3300,3976,15337,1165612,"Rua Mateus Grou, Pinheiros, São Paulo, SP","(-23.5642121, -46.6843656)"
62,Rua Capote Valente,Pinheiros,58,2,1,Apartamento,2609,3510,15337,889546,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
63,Rua Oscar Freire,Pinheiros,70,2,1,Apartamento,7600,8980,15337,1073590,"Rua Oscar Freire, Pinheiros, São Paulo, SP","(-23.5507897, -46.6787724)"
